AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
Chinese Rites Controversy	中國禮儀之爭十六世紀在華傳教士曾因中國祭祖與敬孔的習俗發生爭執，部分傳教士（包括耶穌會士）認為與教義無礙，部分傳教士（包括道明會士）則認為違反教義；雙方相持不下而訴諸教廷；經教宗克萊孟十一世(Clement XI)於 1715 年下令禁止中國教友舉行祭祖、敬孔的外表儀式，並不得再討論此類問題；傳教工作因而大受影響。直到 1939 年始由教宗碧嶽十二世(Pius XII)正式聲明中國傳統祭祖與敬孔的外表禮儀並無宗教意義，故解除禁令，教友因而可自由參加祭祖與敬孔的禮儀；華人福傳的最大障礙終告解除。于斌樞機於 1971 年發起春節敬祖祭天禮儀；主教團于 1974 年編訂了祭祖禮規。 
chi-rho (Gr.)	「凱樂」符號希臘文基督「 ΧΡΙΣΤΟΣ 」之前兩字母「 ΧΡ 」，兩字重疊在一起 P 向下拉長， X 重疊于 P 之下方，組成一象徵符號，代表基督 CHRIST 。 
Chirograph letter	教宗親筆函。又稱 Autograph letter 。 
choir	 (1) 聖詠團；唱經班；唱詩班；歌侶；歌席。 (2) 唱經樓教堂中之唱經樓、合唱團。 
choir loft	唱經台；唱詩席。 
choir monk	歌詠修士隱修院中公誦日課的修士。 
Choirs of Angels	天使歌侶；九品天使（神）天上的天使高低等級不同，共分九品，又稱 Nine Choirs 或 Celestial Hierarchy 。九品從上到下之名稱為 (1) 熾愛天使 Seraphim ，音譯色（賽）拉芬。 (2) 普智天使 Cherubim ，音譯革魯賓。 (3) 上座天使 Thrones 。 (4) 宰製天使 Dominations 。 (5) 異能（力）天使 Virtues 。 (6) 大能天使 Powers 。 (7) 掌權天使 Principalities 。 (8) 總領天使 Archangels 。 (9) （護守）天使 Angels 。 
choral vicar	詠禮司鐸長指座堂聖職團(cathedral chapter)唱經班的指揮。今已廢除。現仍保有詠禱司鐸班 chapter of canons 制度（參閱法典 503)。 
chosen people	選民。指 (1) 舊約天主許諾亞巴郎之後代－猶太人為特選之民族，因為將產生一位救世主（參閱創十七）。 (2) 基督徒－教友。 
chrism	聖化聖油舊稱堅振聖油，是一種橄欖油攙合巴爾默(balm)香料之混合油，通常在聖周（星期四上午）經主教以大禮祝聖，用於堅振、洗禮、聖秩三聖事及其他祝聖禮儀中。 
chrismal	 (1) 聖油盒。 (2) 白袍領洗時所穿之白禮服。 
chrismation	傅油；敷油為人或物之傅油行為。 
Christ	基督；基利斯督；受傅（敷）者希臘文稱「 ΧΡΙΣΤΟΣ 」 Christos ，譯自希伯來文「 Messiah 」彌賽亞或默西亞，意即「經上主傅（敷）油者」，引伸為救主及品位尊高者，通用為耶穌之名號。拉丁文稱作 Christus 。 
Christ the King	基督普世君王節由教宗碧岳十一世於 1925 年所建立（若十八 37)，該節日在常年期最後的（第卅四）主日舉行。 
christen	授洗；付洗。或稱 to christe 。 
Christendom	 (1) 基督 ( 宗 ) 教國指天主教或基督教（耶穌教）徒占多數的國家，亦即基督教國家。 (2) 基督徒；基督徒世界；基督宗教界；基督宗教團體泛指與基督宗教（包括天主教、基督教、東正教）和信徒有關的一切。 
Christian	基督徒；基督宗教的；表現基督精神的 (1) 教友；信徒（友）經由洗禮與耶穌基督關係密切的人。西元 43 年後，在安提約基雅首次使用「基督徒」名稱（宗十一 26)。 (2) 信仰基督是復活的救世主的人。 (3) 按照耶穌訓誨生活的人。 (4) 耶穌的；基督教的；表現基督精神的。 
Christian Brothers	公教學校修士；訓蒙會修士 1680 年聖喇沙(St. John B.de la Salle 1651-1717)創立於法國，從事教育青年工作，簡稱 FSC 。 1875 年來華，在香港工作。該會正式名稱為 The Brothers of the Christian Schools 。 
Christian Community	公教社團；基督徒社團；教友社團。 
Christian Democracy Party	天主教民主黨；基督徒民主黨以信守基督徒信仰原則而組成的政黨，歐洲及拉丁美洲均有此組織，而且成員多系天主教徒，但也歡迎基督教徒參加。簡稱 CDP 。 
Christian Democracy Union	天主教民主同盟；基督徒民主聯盟在德國為天主教組織，但基督教徒亦可參加。簡稱 CDU 。 
Christian Era	基督紀元；主曆；西元。又稱 Common Era 。簡稱 C.E. 。 
Christian faithful	基督信徒；教友因洗禮加入基督的奧體，成為天主的子民，分享基督司祭、先知、王道的職務，奉召執行天主所交待的使命（法典 204)。 
Christian Family Movement	天主教家庭運動；公教家庭運動 1947 年在芝加哥開始，推動聖化家庭運動；簡稱 CFM 。以「共同祈禱，百年和好 The family that prays together, stays together 」為口號。由一對職工青年夫婦發起，初稱 Christian Family Action (CFA)；後改今名。 
Christian Life Weekly	 (1) 教友生活；基督徒生活。 (2) 教友生活週刊臺灣臺北總教區辦的刊物， 1953 年創刊。 
Christian name	聖名；洗名；教名通常指接受洗禮時所取教會聖人之名。嚴格說來，聖名 Holy Name 專指天主（耶穌）的名稱。 
Christian Science	基督科學教派；神聖療病會 1879 年由艾迪女士(Mary Baker Eddy)所提倡之基督教教派，憑精神方法治療疾病為其特點。 
Christian Social Union	天主教社會聯盟；基督徒社會聯盟。 
Christianity	基督宗教；基督宗教文化；基督宗教精神 (1) 基督教義。 (2) 基督信仰；基督宗教；基督教會；信仰基督團體泛指耶穌基督所創立的宗教，是普世的、整體的、歷史的、啟示的、有教義的、末世的、整合的宗教，包括天主教、基督新教（耶穌教）、東正教。 (3) 基督文化世界；基督徒特徵；基督徒精神。參閱 Christendom 。 
Christianization	基督化；信仰基督；皈依基督（宗教）。 
Christifideles Laici (L.)	《平信徒》通諭。教宗若望保祿二世所頒(30.12.1988)。 
Christlike	像基督的試圖在行為、精神、思想上仿效耶穌的人。 
Christmas	耶誕節；耶穌耶誕節；耶誕節耶穌誕生之確切日期聖經並未詳細記載（路二 1-20)，西元 354 年教會始規定每年 12 月 25 日為耶穌耶誕節。詳見 Nativity of Christ 。 
Christmas carol	 (1) 聖誕歌。 (2) 報佳音耶穌誕生時，天使向牧羊人報告救世主誕生的大喜訊－佳音（路一 8-11)，因此而演變為耶誕節沿門獻唱聖誕歌曲報佳音的習俗。 
Christmas crib	聖誕馬槽由聖方濟(St. Francis of Assisi)開始，於耶誕節期間在聖堂、家中或廣場陳設聖誕馬槽包括耶穌聖嬰、瑪利亞、若瑟、天使、三賢士、牛、羊等，以描繪聖誕情景。或簡稱 crib 。 
Christmas cycle	聖誕期教會禮儀週期之一，由「將臨期」開始，至「主受洗日」止。其中包括 (1) 將臨期 Advent 。 (2) 耶誕節期 Christmas 。 (3) 主顯節 Epiphany ，昔日的「主顯節期」今已取消。 
Christmas Eve	聖誕前夕；聖誕夜耶穌聖誕前一日（望日）。 
Christmas tree	聖誕樹聖誕裝飾之一，開始於德國； 1840 年已在英國流行；現已風行全球。 
Christmas wreath	聖誕花圈；聖誕花環。 
Christmastide	聖誕期。詳見 Christmas cycle 。 
Christo-centric	以基督為中心的。 
Christology	基督論；基督學反省納匝肋人耶穌和信仰的基督兩者的關係，以及探討耶穌為天主的基礎和意義。 
Christonomy	基督律。 
Christophany	基督顯現指耶穌基督復活後的顯現。 
Christopher, medal of St.	聖多福聖牌美國習俗，祈求行車安全的聖牌。據古老傳說渡船夫聖多福曾帶嬰孩耶穌安然渡過溪流，被民間視為旅行主保。 
Christopher movement	多福運動；多福運動提倡者指隨時隨地之點滴福傳運動， 1945 年由瑪利諾會凱樂神父(Rev. James Keller, MM)倡行，「以善勝惡」為其中心思想；口號為「與其詛咒黑暗、不如點亮蠟燭」。鼓勵人將基督的愛和真理散佈到市場、政府、學校、文藝界、娛樂圈。又稱 Christophers, the 。 
Christus (L.)	基督。見 Christ 。 
Christus Dominus (L.)	《主教在教會內牧靈職務》法令梵二大公會議文獻之一(28.10.1965)。簡稱 CD 。 
Chronicles, Book of	編年紀；歷代志（基）舊約史書，又稱 Paralipomenon ，意為「史事補遺」，分上下兩卷，記載自亞當起，至巴比倫被擄期結束－包括居魯士王(Cyrus)准許以色列人返回巴勒斯坦(536 B.C.)在內的事蹟。 
Church	 (1) 教會；教會團體；基督徒團體；教派；會眾指耶穌建立的信仰團體（集會），亦即天主在世界上的家庭－教友透過洗禮而成為一家人，彼此形同手足。基督教會所有的要素，圓滿地保存在天主教中，而天主教的四個特徵是至一、至聖、至公、從宗徒傳下來的教會。 (2) 教堂；天主堂；禮拜堂（基）為敬禮天主而專用的神聖房屋；指所有信徒都有權利到此參與（舉行）天主的敬禮；其次為聖堂 oratory （拉丁文為 oratorium)，專為某一團體敬禮天主之用；最後為私用小聖堂 private chapel （拉丁文為 sacellum privatum)，經教區教長許可，只為私人或家族之用（法典 1214-1229)。 
Church, Anglican	安立甘教會；英國國教又稱 Anglicanism ，是英王亨利八世脫離天主教時，於 1534 年所創始的獨立教會。是一個在英國紮根、茁壯、成長，而逐漸遍佈全世界的教會支派，稱之為聖公宗 Anglican Communion 。該會傳至英國國外後改稱聖公會 Episcopal Church 或 Episcopalianism 。 
Church, Apostolic	從宗徒傳下來的教會即天主教會。詳見 marks of the Church 。 
Church, Baptist	浸信會基督教更生團體之一，強調施行浸禮的重要性。又稱 Baptists 。 
Church, Catholic	天主教會；公教會指公教會－天主教會，乃歷史上由耶穌基督親自創立、一直延續到今天的教會。至於其他自稱屬於基督的教會，都是從這古老的天主教會先後分離出來的。明末羅明堅、利瑪竇等傳教士到中國時，將公教會稱為天主教（會），因此「天主教會」就是西文的「 Catholic Church 公教會」。參閱 marks of the Church 。 
Church, Eastern	東方教會指源於東羅馬帝國的教會及其信友團體。與西方曾有三次分裂經驗奈斯多利之爭(431 年）、一性論(451 年）、新舊羅馬之爭(1054 年）。事實上，統一的教會並不排除多元化真理傳達的方法、禮儀、法律和管理的結構容或有所不同，因而有東、西方禮儀之別。東方禮有五種亞歷山大禮、安提約基禮、加式丁禮、亞美尼亞禮和拜占庭禮。其中拜占庭禮流傳既多又廣，名稱也不一，如東正教、東方正統教會、希臘斯拉夫教會等等名稱。東方教會有的與教宗保持共融，有的則分道揚鑣。 
Church, Father of the	教父指初期的教會作家，以正統的教義和聖潔的生活著稱，因此受到教會嘉許，而被視為信仰之見證人，其特徵是年代久遠、正統教義、生活聖潔、教會嘉許。 
church, local	地方（區）教會；個別教會指普世教會在某地區的可見部分。泛指一個地區、國家、教省、教區、堂區等等。又稱 particular church 。 
Church, Lutheran	路德會；信義會；信義宗基督教派之一， 1517 年由馬丁．路德(1483-1546)創始，強調人只要信便可得救。 
Church, Methodist	衛理會；循道會。詳見 Methodism 。 
Church, Militant	戰爭的教會；作戰的教會指為抵抗三仇（魔鬼、世俗、情欲）以爭取永生，仍生活于現世之教會（友）。與受苦的教會－煉獄，和得勝的教會－天堂，同屬基督奧體。 
church, national	 (1) 國家教會；獨立教會。 (2) 國家教堂；國民教堂；僑民教堂以語言、文化為背景而異於當地教會的教堂；如美國各大都市的波蘭語教堂、華人教堂等是。 
Church, Old Catholic	老（派）天主教會一群神父及教友，因拒絕梵一大公會議(1869-1870)帶來的改革－尤其教宗首席權和不能錯之信理，而另立門戶，堅持原有的信仰，故名老派天主教會。 
church, particular	個別教會；地方教會。參閱 church, local 。 
Church, Pentecostal	五旬節教會；神召會。詳見 Pentecostal Church 。 
Church, Presbyterian	長老教會。詳見 Church, Reformed 。 
Church, Primitive	初期教會指第一個因耶穌基督之名而聚集的團體，源於新約。初期教會誕生於東方閃族和希臘文化交會之點，成員包括猶太人和外邦人。 
Church, Protestant	基督教誓反教一般指脫離羅馬天主教和東正教的基督教會或團體。教會的角色有二 (1) 精神本質，亦即教會是信仰及友愛的團體，屬於聖神的工作，非人力所能控制。 (2) 外在表現，亦即教會也是一個人世間、歷史中的制度，在每一時代表現出具體的生活方式的團體。後者是造成基督教會內分歧的原因。參閱 Protestant(-ism) 。 
Church, Reformed	改革（宗）教會；革新教會指十六世紀宗教改革運動後所產生的教會。而長老會在許多非英語國家稱為改革教會。至於天主教本身受到宗教改革運動的刺激和效應，所作的正面回應和修正，稱為天主教復興 Counter Reformation 。 
Church, Roman (Catholic)	羅馬天主教會。詳見 Roman Catholic 及 Church, Catholic 。 
Church, Suffering	受苦的教會教會不斷地接受痛苦的考驗，尤指煉獄靈魂。詳見 Mystical Body (of Christ)。 
Church, Triumphant	凱旋的教會；得勝的教會；勝利的教會指戰勝罪惡、凱旋升天的天朝諸聖。詳見 Mystical Body (of Christ)。 
Church, Universal	普世教會指全球性的信仰團體－至公性的教會，與至一性、至聖性、宗徒性共同組成教會四大特徵。與地方、個別教會相對照。 
Church of Brethren	兄弟教會；友愛會基督教的一派。 
Church of England	英國教會始於十六世紀的英國國教。 
Church of Rome	羅馬教會此乃非天主教人士－尤其是基督新教人士，對天主教的用語。因為宗徒之長聖伯鐸乃首任羅馬主教，而他的繼承人也順理成章地擔任羅馬主教，因此才有此說。 
Church of Silence	靜默的教會指在本國因受到迫害，而無法與外界保持連系的教會，多指共黨政權統治下的教會。 
Church Unity Octave	基督徒合一祈禱周。詳見 Chair of Unity Octave 。 
church-yard	教會墓地多指歐洲（部分）教堂旁的教會墓地。 
Church year	教會年；禮儀年。 
Churches of Christ	基督新教為基督使徒會(Disciples of Christ)之一支； 1832 年由甘貝爾(Campbells)弟兄創立于美國賓州，以聖經為唯一信仰根據，標榜浸洗式洗禮。 
churching of women	產後感恩禮婦女分娩後的感恩禮。 
ciborium (L.)	聖體盒保存聖體的金屬器皿。 
cincture	聖索禮儀中系於大白衣外的繩索，現已很少使用。 
circumcision	割禮；割損猶太人割除男性包皮的禮儀，變成了與天主特殊關係的象徵，始於舊約以色列始祖亞巴郎 Abraham 。原是古代農業社會習俗。拉丁文作 circumcisio 。 
Circumcision of Our Lord	聖嬰割損瞻禮；吾主割禮往昔在 一月一日 紀念耶穌聖嬰割包皮禮，現已取消。 
circuminsession	彼此滲透；互相寓居；相互交融 (1) 天主三位彼此滲透、相互內在性。 (2) 基督天主性、人性的相互內在性。又稱 circumincession 。 
Cistercians	熙篤會士；苦修會士 1098 年聖羅拜(St. Robert)創立於法國，主張生活嚴肅，平時禁止交談，故俗稱啞吧會，重個人清貧，終身吃素，每日淩晨即起身祈禱。 1883 年傳入我國，先後在察哈爾楊家坪，河北正定及四川成都等地設有會院。大陸政權轉移後，也在香港大嶼山設有會院。後又在臺灣省南投縣水鄉設有會院。英文全名是 Order of Cistercians of the strict observance ，簡稱 O.C.S.O. 。 
Citta del Vaticano (It.)	梵蒂岡國；梵蒂岡城天主教羅馬教廷所在地。 
City of God	天主之城 (1) 四世紀聖思定之名著。 (2) 聖詠上指耶路撒冷京城。 
clapper	木鈴指昔日聖周星期四起，至復活前夕，為紀念耶穌苦難，用以代替銅鈴（鐘）的木鈴，表示悲傷之意，現很少再用。 
clarity	神光復活後四奇恩之一。詳見 brightness 。 
clausura (It.)	 (1) 修院禁地；教會禁地依教會法為修會的男女會士所保留的靈修處所，俗人不得隨意進入打擾。 (2) 結業式基督活力運動(Cursillo)的結業式。 
Clementine Epistle	克勉教宗書簡西元 95 年教宗聖克勉（克來孟）所寫的書簡，內容討論當時教會問題及教宗的地位。 
Clementine Instruction	克勉訓令四十小時明供聖體禮規， 1736 年由教宗克勉（克來孟）十二世宣佈， 1914 年改訂。又稱 Forty Hours 四十小時。 
Clementine popes	克勉時代之教宗特指 1378 至 1423 年，西方大分裂時期，居住于亞威農(Avignon)的兩名偽教宗克勉（克來孟）七世(Clement VII)及本篤十三世(Benedict XIII)。當時居於羅馬之教宗為伍朋六世(Urban VI)、博義九世(Boniface IX)、諾森七世(Innocent VII)、國瑞十二世(Gregory XII)及馬丁五世(Martin V)。 
clergy	聖職人員（界）；神職人員正式的稱呼為聖職人員 sacred minister ，指為主服務而度獻身生活者，尤其是領過聖秩聖事者（法典 1008)，也有人稱之為神職人員。但若嚴格區分，「聖職」人員指領過聖秩聖事者，而「神職」人員則泛指所有服務教會的人員，也包括修會的男女會士在內。 
clergy, diocesan	教區聖職人員；教區聖職班。 
clergy, married	已婚聖職人員已婚（天主）教徒之成為聖職人員者，尤指東方禮天主教已婚的聖職人員。 
clergy, regular	修會聖職人員；入會聖職人員以別于教區聖職人員 diocesan clergy 。 
clergy, secular	教區聖職人員；在俗聖職人員為直屬于教區主教的聖職人員，以別于修會聖職人員 regular clergy 。今多稱 diocesan clergy 。 
cleric	聖職人員；神職人員。詳見 clergy 。 
clericalism	唯聖職主義；聖職專權；教權主義指聖職人員干涉其他（非其領域）事務之企圖。 
cloister	修院禁地；教會禁地又稱 close ，詳見 clausura 。 
coadjudor-bishop	助理主教教宗任命的領銜主教，協助管理教區者，有繼承權。 
coat of arms	聖職徽章教會高級聖職人員的徽章。 
co-consecrators	陪同祝聖者祝聖主教時普通應有三位主教聯合主持，一位是主禮（主角），兩位是襄禮，亦即陪同祝聖者（配角）。 
Code of Canon Law	天主教法典。詳見 Canon Law, Code of 。 
Codex	聖經古抄本 (1) 古希臘文聖經的抄本。 (2) 法典手抄本。 
Codex Iuris Canonici (L.)	天主教法典。詳見 Canon Law, Code of 。 
coelibatus (L.)	獨身制；獨身生活；貞潔生活。 
Coemeterium (L.)	墳地；墓地。英文稱作 cemetery 。 
collar	白領聖職人員所戴之白領，又稱羅馬白領。 
Collect	集禱經指彌撒開始（為信眾祈禱的）經文。 
collection	獻儀；捐款；捐獻為支援教會或慈善事業的捐獻。 
College of bishops	世界主教團；普世主教團以教宗為首，以眾位主教為成員，經由聖事的祝聖，和在聖統制內所組成的共融之團體，乃宗徒團的延續。與元首教宗緊密共融、永不分離的世界主教團，也是全球教會最高全權的主體（法典 336)。 
College of Cardinals, Sacred	樞機團是有權選舉教宗的普世樞機主教團體。 
collegiality of bishops	普世主教集體性教會全體主教與教宗共同治理教會的集體性、共融性團體，是梵二大公會議所創的名詞。 
Collegiate Church	協同教會指由數位基督教牧師共同管理的教會。 
colo(u)r, ecclesiastical	教會慣用顏色。詳見 colors, liturgical 。 
colo(u)r, liturgical	禮儀慣用顏色指祭衣（祭服）和教會飾物所慣用的各種顏色，始於十二世紀。計分五色白、紅、綠、紫及黑色，間亦用玫瑰色及金色。 
colo(u)r, papal	教宗旗。詳見 papal flag 。 
Colossians, Epistle to the	哥羅森書；哥羅西書（基）新約聖保祿書信之一；是保祿寫於羅馬獄中的書信，除推崇基督高超的尊位外，同時也勸勉信友抗拒邪說謬理，專務修德。 
Columba (L.)	鴿子象徵天主聖神（瑪三 16)。 
Columban Fathers, the	高隆（龐）會 1918 年喀（賈）爾文神父(Edward J. Galvin)成立於愛爾蘭的（男）修會。 1920 年率會士來華傳教，後任漢陽主教。 1922 年成立高隆修女會 The Columban Sisters 。 
commandment	誡命。見下條 Commandments of God, The Ten 。 
commandment of the Church	聖教法規；聖教四規。詳見 precept of the Church 。 
Commandments of God, The Ten	天主十誡天主在西奈山授與梅瑟（摩西）的誡命（出廿 1-17 ；申五 6-21 ；瑪五 17-47)。十誡為 (1) 欽崇一天主在萬有之上。 (2) 毋呼天主聖名，以發虛誓。 (2) 守瞻禮主日。 (4) 孝敬父母。 (5) 毋殺人。 (6) 毋行邪淫。 (7) 毋偷盜。 (8) 毋妄證。 (9) 毋願他人妻。 (10) 毋貪他人財物。又稱 Decalog (-ue)。耶穌把十誡歸納成愛的法律愛天主在萬有之上、愛人如己。 
commemoration	 (1) 紀念經文彌撒中的紀念生者及死者的經文，拉丁文稱為 commemoratio 。 (2) 紀念日。 
commendation of a soul, the	送終祈禱；臨終經為死期已近、即將面見天主的人祈禱。 
commentator	釋經員；領經員彌撒中解釋經文的人員。 
commissary, apostolic	教宗特使；教宗特派員。 
commissary, provincial	准省會長某些修會工作地區，因條件不足，不能成立會省，但因實際需要而仍劃為會省（規模）的上司，稱之為准省會長。 
commissary of the Holy Land	聖地管理員宗座通常指定由方濟會士管理。 
commitment, Christian	基督徒的效命；基督徒的獻身。 
Common Bible	共用聖經為天主教與其他基督教派共用的聖經。 
Common Era	基督紀元；主曆。同 Christian Era 。 
common good	公益；共同福祉。 
common life	共同生活多指修會的團體生活。 
Common of the Mass	彌撒常用經文與彌撒專用經文相對照，詳見 Proper of the Mass 。 
Common of the Saints	聖人通用經文彌撒或日課中，為敬禮聖人通用的相同經文。 
common prayer	信友禱詞。詳見 prayer of the faithful 。 
Common Prayer Book	聖公會公禱書；祈禱書。 
common priesthood	普通司祭職。 
communal celebration	團體舉行禮儀禮儀運動中強調團體參與的禮儀。 
Communicantes (L.)	共融祈禱；團體祈禱彌撒（感恩經）中，紀念天上諸聖的經文，以其拉丁文首字而得名。 
communicatio in sacris extra-sacramentalis (L.)	聖事外的禮儀共用；聖事外相通指基督徒間非聖事性的禮儀共用、相通。詳見 communicatio in sacris sacramentalis 。 
communicatio in sacris sacramentalis (L.)	聖事內的禮儀共用；聖事內相通基督徒間聖事的禮儀共用、相通。指天主教與東正教或基督教之間，信徒偶有的交互參與教會禮儀聖事的行為。與 communicatio in sacris extra-sacramentalis 相對照。有關聖事禮儀的分享，教會限制較嚴；至於聖事外的分享，限制則較寬（參閱法典 844)。 
Communio naturarum (L.)	兩性相通；兩性共融指基督神、人兩性之相通、共融。 
Communion	 (1) 領聖體；領主通常 Holy Communion 兩字連用。 (2) 領主詠彌撒中的領主詠。 (3) 共融；契合；相通；溝通；分享與天主教會圓滿共融的成員為受過洗禮後，在基督有形的結構內，以信德宣言、聖事和教會的治理而團結一起的人（法典 205)。 (4) 教派；宗教團體；團契。 
Communion, first (Holy)	初領聖體；開聖體指教友初次領聖體。歐美習慣，幼童初領聖體，禮儀十分隆重，父母並為之舉行慶祝。 
Communion, frequent	勤領聖體教宗碧嶽十世以通諭鼓勵教友和兒童每日領聖體。 
Communion, Holy	聖體本意指基督聖體與領受者的融合，亦泛指教友間的團契。 
Communion, spiritual	神領聖體指不能實際領聖體時，以心領受的善情。 
communion antiphon	領主詠（頌）；對經彌撒中教友領聖體時所唱或念的經文。 
communion by non-catholics	與非天主教徒共融在某種特殊情況下，教會允許天主教聖職人員為非天主教徒施行懺悔、聖體和病人傅油聖事；同樣在某種情況下也允許天主教教友，由非天主教的聖職人員領受上述三件聖事（參閱法典 912 、 843 、 844 ；並參閱 communicatio in sacris sacramentalis)。 
communion of saints	諸聖相通功；諸聖相通；聖徒相通；諸聖共融天朝聖人和現世教友間的精神融合、恩寵交流、祈禱互惠，藉以分享基督的救恩。 
communion paten	聖體盤神父分送聖體時，用以防止聖體或其碎屑落地的金屬盤，簡稱 paten ；又稱 communion plate 。今已很少再用聖體盤。不少地區用手掌接受聖體。 
communion rail	聖體欄杆教堂中用以間隔祭台與教友的護欄；通常教友于此處領聖體，現多已廢止。又稱 cancelli 。 
communion station	領聖體區為教友分送聖體的地方，亦即昔日的聖體欄杆前。 
Communion under both kinds	兼領聖體聖血同時領聖體和聖血。 
communism	共產主義廣義而言指一種財產公有的社會制度；狹義而言指以革命運動剷除資本主義，以建立一個財產社會公有，經濟由社會控制，分配依照「各盡所能、各取所需」原則的一種主張。與社會主義有別，參閱 socialism 。 
community	 (1) 教會會眾；團契天主子民的組合（教會），特別指參與教會禮儀的眾信友；全稱為 community of the faithful 。 (2) 修會團體；共同生活。 
community, basic	基層教會團體。詳見 Basic Christian Community 。 
community development	社區發展教會多年前就早已在臺灣各地推行社區服務運動。 
comparative religion	比較宗教學研究各宗教的異同。 
complex in peccato (L.)	共犯；共同犯罪者。 
compline	夜課經；寢前經；夜禱指日課經中最後階段、就寢前的禱詞，原文譯為補充經。詳見 Breviary 。 
comprecation	同禱；代禱。 
concelebration	共同獻祭；共祭；團祭指多位司祭共同舉行同一彌撒。 
Conception, Immaculate	無染原罪；無原罪始胎指天主在聖母受孕時，預防了她玷染原罪，亦即天主之母的一生，沒有一天在罪的勢力之下。拉丁文稱作 Conceptio Immaculata 。 
conciliar	（大公）會議的；宗教會議的。 
concilium (L.)	會議教會事務的會議。 
Concilium Oecumenicum (L.)	大公會議。詳見 Council, Ecumenical 及本書附錄。 
conclave	 (1) 秘密會議教宗選舉時樞機主教所召開的秘密會議。 (2) 教宗選舉所。 
conclavist	會場隨員指選舉教宗者－樞機之隨員。 
concordance, biblical	聖經索引；聖經要語索引；聖經用語彙編以聖經主要字句編排的索引，最著名者為 1736 年由克魯丹(Alexander Cruden)所編著，沿用至今。 
concordat	政教協定；政教條約教廷與各國政府所訂有關宗教事務之條約。 
concupiscence	私欲偏情；七情六欲；貪欲；情欲意指追求理想過程中，違反理性的（縱欲）傾向，其本身非罪，但易受誤導善用有功，妄用有過。 
conference, clergy	神父會議；聖職會議；教士會議堂區司鐸集會討論牧靈問題。亦可稱為 pastoral conference 。 
conference of bishops	 (1) 主教團某國家或某地區的全體主教所組成的團體，共同執行某些牧靈職務，為一常設機構（法典 447-459)。 (2) 主教會議。 
confession	 (1) 懺悔聖事詳見 Confession, Sacrament of 。 (2) 告明告解五條件之一。五條件為省察、痛悔、定改、告明、補贖。 (3) 頌揚天主。 (4) 信仰表白；宣信指以言語或行動表達心中的信仰（參閱瑪十 32-33)。又稱 confession of faith 。 Confession 之拉丁文是 confessio 。 
confession, general	總告解將某時期內，未告過或已告過之罪，全盤告明，以示謙虛認罪決心。 
Confession, Sacrament of	懺悔聖事；告解聖事；和好聖事；辦告解；辦神工。詳見 Penance, Sacrament of 。 
confession, seal of	告解保密。詳見 seal of confession 。 
confession of a martyr	 (1) 殉教者之墓。 (2) （祭台下存放）殉教者（遺骸的）地下室聖伯鐸大殿葬有聖伯鐸遺骸的地下室簡稱 Confession 。 
confession of faith	 (1) 信仰宣誓。 (2) 為信仰作證。 
confessional	告解室；告解亭；懺悔亭；神功架舉行（辦）告解的地方。 
Confessiones (L.)	懺悔錄。詳見 Confessions 。 
Confessions	懺悔錄是在四、五世紀之交，教會偉大思想家聖（奧）思定皈依天主教後所寫的自傳，共十三卷，以拉丁文寫成頌揚天主，並懺悔自己過去所犯的罪過。拉丁文為 Confessiones St. Augustini 。 
confessor	 (1) 聽告解神父拉丁文稱作 confessionarius ；指有主教的准許，可執行懺悔聖事的司祭。而特殊聽告解神父 extraordinary confessor ，則指男女修會于普通（經常）聽告解神父外，所特約的聽告解神父。 (2) 證道者；精修聖人以聖善的生活為主作證的（非殉道）聖人；與殉道聖人相對照。 (3) 懺悔者；告解者。 (4) 承認信仰者；宣信者。 
confidentiality	保密。 
Confirmation, the Sacrament of	堅振聖事；堅信禮（基）乃耶穌建立七件聖事之一；是主教（神父）先向領堅振的教友覆手祈禱，而後在其額上傅油，同時念「請藉此印記＋，領受天恩聖神」，透過聖事賦予的神印，使領受的人更密切地與教會結合，進而更堅強地為基督作見證（法典 879)。乃聖洗聖事的補充和加強，亦即基督徒的成人禮。 
Confiteor Deo (L.)	籲告吾主悔罪經。昔日彌撒開始時所誦念的悔罪經的拉丁文首句譯為「籲告吾主」，現改用新版的「我向全能的天主 … 」經文。 
conformity	遵奉國教指遵奉英國國教。 
confraternity	善會；弟兄團。 
Confraternity Edition of the Bible	協會版聖經在美國教理研究協會(Confraternity of Christian Doctrine)支持下，由美國聖經學者所翻譯的聖經，是美國通行的英譯聖經。彌撒的讀經和福音均採用之。 
Confraternity of Christian Doctrine	教理研究協會教宗碧岳十世於 1905 年通令普世各教堂設立此組織，簡稱 C.C.D. 。亦即現在的教（要）理班、主日學。 
Confucian	儒者；孔子的；儒教的。 
Confucianism	儒家；孔教；儒教提供人生與天意相關聯的觀點，雖非狹義的宗教，可稱為自然神學。 
Confucius	孔子中國偉大之哲學家、倫理學家、教育學家、儒家宣導者。 
congregation	 (1) 修會。詳見 congregations, religious 。 (2) 部教廷所管轄的機構，如萬民福音部 Congregation for the Evangelization of Peoples 。 (3) 會眾參加敬禮的天主子民。 (4) 區會；地方教會。 
congregation of the faithful	教友團體；信徒團體。 
Congregational Church	公理（教）會 1580 年由聖公會教士伯朗(Brown)領導，脫離英國國教而獨立的基督教派。 
