Baptist Church	浸信會基督教更生團體之一，強調施行浸禮的重要性。又稱 Baptists 。 
St. Alphonsus Liguori	聖雅風．力格義大利倫理學家， 1732 年創立贖世主會。舊名聖亞豐索。 
the Cenacle	 (1) 晚餐廳耶穌最後晚餐之處所。 (2) 避靜院由女修會所主持的婦女避靜的房舍。 
religious profession	修會誓願；會士發願經由貧窮（神貧）、貞潔、服從三願加入某修會團體、遵守同一會憲（章）、共度獻身生活者。 
pastoral visit	牧靈訪問。 
ecclesiastical province	教省為在數個毗鄰教區之間，按人事及地方環境促進共同的牧靈工作，並為更適當地培養教區主教之間的關係，共同組成一個教省（法典 431)。相鄰之教省又可由聖座聯合成為區域性教會 ecclesiastical region 。通常每一國家分若干教省，教省中又分若干教區，教區中再分若干堂區。如臺灣地區共分為七個教區，其中臺北稱為總教區，其他（六個）稱為教區。 
diocesan clergy	教區聖職人員；教區聖職班。 
Council of Constance	康士坦斯大公會議十五世紀(1414-1418)在德國康士坦斯召開的大公會議。詳見附錄。 
Epistle to the Corinthians	格林多書；哥林多書（基）保祿書信之一；分前後兩書；約於西元 53-57 年間寫成。保祿寫該書之目的是為消除教會內部的紛爭和惡表，同時也為答復信友所提出的一些問題。 
religious habit	會衣修會會士的制服。 
spiritual direction	神修指導；靈修指導。 
votive Mass	私願彌撒；還願彌撒；任選彌撒；敬禮彌撒神父按某種意向或為還願所（選擇）舉行的彌撒；如特敬耶穌聖心的彌撒、求和平的彌撒等。 
papal chamberlain	教宗侍從教宗所賜榮銜之一 (1) 對聖職人員稱蒙席。 (2) 對一般教友稱教宗侍衛。又稱 camerlengo 或 camerarius 。 
the Angelic Salutation	聖母經系由天使問候聖母的話、表姐麗莎讚頌聖母的話（路一 28 ， 42)、以及十六世紀教會所附加的祈禱文所組成。語體譯文為「萬福瑪利亞，你充滿聖寵！主與你同在。你在婦女中受讚頌，你的親子耶穌同受讚頌。天主聖母瑪利亞，求你現在和我們臨終時，為我們罪人祈求天主。阿們」。文言譯文見 Hail Mary 。又可稱 Angelic Salutation 天使問候。 
Book of Numbers	戶籍紀；民數記（基）舊約梅瑟五書之一，為出谷紀之延續，因記有許多數字，故名。書中記載希伯來族分為十二支派，各自獨立，但藉由同一宗教盟約的信心而團結。他們雖曾與梅瑟發生爭執，但由此書可看出他們的社會及宗教組織是以信德（心）為基礎。 
illuminating grace	神光寵佑之一種，使人頭腦清醒，易於行善。 
public absolution	公開赦罪亦即在會眾面前赦罪，乃古代教會赦罪的方式。 
sensitive soul	覺魂；感覺之魂指動物之魂，動物有生魂和覺魂，但無靈魂；為士林哲學用語。 
the Apostles' Creed	宗徒信經；使徒信經相傳為十二宗徒所撰寫並傳揚的信理綱要，共十二條，每位宗徒維護一條，全文為我信全能的天主父，天地萬物的創造者。我信父的唯一子、我們的主耶穌基督。我信祂因聖神降孕，由童貞瑪利亞誕生。我信祂在比拉多執政時蒙難，被釘在十字架上，死而安葬。我信祂下降陰府，第三日從死者中復活。我信祂升了天，坐在全能天主父的右邊。我信祂要從天降來，審判生者死者。我信聖神。我信聖而公教會，諸聖的相通。我信罪過的赦免。我信肉身的復活。我信永恆的生命。阿們。又稱 Apostolic Creed 。「信」表示承認、心悅誠服之意。 
Book of Esdras	厄斯德拉書；以斯拉書（基）舊約史書之一；書分上下兩卷，下卷亦稱乃赫米雅書或希米記（基） Nehemia 。寫於西元前五世紀。記述猶太人充軍回國後約一百年間的歷史亦即從居魯士解放選民開始，到領袖們重建聖殿、進行宗教革新運動止。 Esdras 又名 Ezra 。 
Epistle to the Ephesians	厄弗所書；以弗所書（基）新約保祿書信之一，寫於其被俘時期，指出基督的教會宛如基督的妙身基督是首，與肢體－信徒合而為一，同時信徒彼此間也應密切連系。 
the Our Father	我們的天父；在天我等父者；天主經；主禱文耶穌親授門徒祈禱文之第一句。全文見 Lord's Prayer 。 
the Syllabus	謬說表；異端邪說錄 (1)1864 年教宗碧嶽九世所公佈。 (2)1907 年教宗碧嶽十世把極端現代主義亦曾列入表中。 
impeded see	受阻；（主教）牧座障礙；（主教）職權障礙指教區主教因被囚、放逐、充軍或因無能力，完全無法在教區內行使牧靈職務，包括通信在內（法典 412)。 Sede 原意為座位，引伸為（教區）職權。拉丁文稱作 sede impedita 。 
Book of Kings	列王紀舊約之一部，廣義的包括四部份，計為撒慕爾紀上、下，及列王紀上、下；狹義僅指後二者。列王紀提醒人，天主對世事並非袖手旁觀，一切都在祂掌控中。 
national council	全國會議亦即全國教務會議。 
Sacred Roman Rota	教廷高等法院；聖輪法院成立於十三世紀的聖座法院，因法院建築為圓形又稱為聖輪法院。 
Pontifical Academy of Science	宗座科學院；教廷科學院。詳見 Pontifical Academy of Science 。 
medal of St. Christopher	聖多福聖牌美國習俗，祈求行車安全的聖牌。據古老傳說渡船夫聖多福曾帶嬰孩耶穌安然渡過溪流，被民間視為旅行主保。 
Supreme Order of Christ	基督最高爵士章教宗若望廿二所創之勳章。詳見 knight, papal 。 
revealed truth	啟示真理天主所揭示的真理。 
Pope John XXIII	教宗若望二十三世近代偉大教宗之一(1881-1963)，曾召開梵蒂岡第二屆大公會議，促進教會改革，頒佈《慈母與導師》及《和平於世》二通諭。 
intellectual soul	靈魂；理性之魂指靈魂使人擁有理性、人格。唯獨人具備生魂、覺魂和靈魂。「魂」字乃士林哲學用語。 
Book of Nehemiah	乃赫米亞書；厄斯德拉下；尼希米記（基）舊約中的一部，記述猶太人由充軍地回國後，省長乃赫米亞整修耶京城牆、整頓政風、並與厄斯德拉一起恢復梅瑟與主所立之盟約等事蹟。 
religious institute	修會是按照各自（獨特）的規定，矢發終身公開（貞潔、貧窮、服從）聖願，並度兄弟（姐妹）般獻身生活的信友團體（參閱法典 607-709)。 
impeding (prohibiting) impediments	不法限制昔日規定某些情況禁止結婚，若執意結婚，婚姻雖有效，卻不合法。此種規定今已少見（參閱法典 1075)。 
St. Peter	聖伯鐸；聖伯多祿；聖彼得（基）原為漁夫，被耶穌選為宗徒，並封為十二宗徒之長，改名叫磐石。他是首位羅馬主教－教宗，在羅馬殉道，在其墓上所建之伯鐸大殿成為天主教領導的中心。 
Edict of Milan	米蘭詔書西元 313 年 2 月羅馬君士坦丁大帝宣佈宗教信仰自由之詔書。 
the Elevation	舉揚（聖體和聖血）司祭祝聖聖體、聖血後，將之舉起（捧舉）讓會眾瞻仰、朝拜；感恩經結束時再度舉起，是奉獻的表示。前者始於十二世紀，後者始於教會初期。 
Book of Ezechiel	厄則克耳書；以西結書（基）舊約先知書之一；厄則克耳為四大先知之一，首先預言以民因敬拜邪神及不守主誡而招致天主的懲罰－聖城毀滅及流亡異國；直到他們悔改，才能回歸故里，重建家園。 
religious indifferentism	宗教冷漠主張；宗教無差別論主張所有宗教都有價值，都是好的，不相信只有一個完備的宗教，是對宗教信仰不求甚解的態度。 
book and candle bell	鳴鐘、掩卷、熄燭中世紀開除教籍的步驟。 
infused virtue	天賦德性；注賜之德指天主賜與善人靈魂的特殊寵愛，使之直接與主（秘契）結合之德。 
lay apostolate	教友傳教；教友傳教者。又稱 apostolate of the layman 。 
sung Mass	詠唱彌撒指詠唱聖歌而無襄禮人員的彌撒。是梵二大公會議前的稱呼。 
the Blessed Virgin Mary	童貞聖母瑪利亞是雅敬和安納的女兒、達味的後裔、若瑟的淨配、耶穌的母親、充滿聖寵者、無染原罪和本罪者、第一位基督的信徒、贖世者的伴侶、蒙召升天之後。福音曾多次提起她（瑪一；穀三；路一；若十九）。在她一生中，有三種境遇顯示出她中保 Mediatrix 的角色聖子降生、耶穌被釘十字架、榮耀的天上母后。教會對她以特殊的敬禮 hyperdulia 禮遇（參閱 veneration)。而瑪利亞（瑪麗）在耶穌時代是巴勒斯坦最通俗的名字，也曾多次出現在新舊約內。 
News Service Fides	信德新聞社 1927 年由教廷傳信部所設立，原名為 Agenzia Fides 。 1998 年 6 月 4 日 開始有中文版，名為信仰國際通訊社－ Xinyang guoji tungxunshi ，旨在讓中國人獲知教宗的活動、以及普世教會的福傳資訊。 E-mail  chinese@fides.org 。 
Church of Holy Sepulcher	耶穌聖墓大殿君士坦丁皇帝曾在耶穌死後埋葬與復活的原址，建造了一個聖堂，後改建成大殿。 
auxiliary bishop	輔理主教；主教代表指因教區牧靈之需要，協助教區主教的副手，雖經祝聖為主教，但無繼承權（法典 403-411)。 
to make a vow	許願；發願向天主宣誓遵守某善行。 
episcopal ring	主教權戒為主教聖秩和權力之象徵，始於第六世紀。 
papal audience	覲見教宗；教宗接見群眾通常在每週三上午。 
baptismal innocence	洗禮後之無罪狀態領洗後，原罪、本罪都蒙赦免，靈魂享有天主的寵愛。可惜不久靈魂會因後天的罪過而遭受污染。 
final vows	終身願；大願；永願；末願修士或修女（在暫願期滿時）向天主宣誓，承諾信守終身的三個聖願。 
Feast of Dedication	祝聖日；奉獻日指聖堂或聖殿落成的祝聖日或奉獻日。 
fallen angels	墮落的天使；魔鬼有些天使，因抗拒天主的命令而失掉天主的恩寵－不能在天堂與天主共享福樂，變成了魔鬼，墜入萬劫不復的地獄。 
personal sin	本罪；己罪指個人違反自然律或神律的行為，由本（個）人負責。與原罪 sin, original 有別，因為原罪直接由始祖亞當與夏娃負責。 
Book of Osee	歐瑟亞書；何西阿書（基）舊約十二小先知書之一，預言天主以慈愛憐憫（對待）不忠的百姓。 Osee 又稱 Hosea 。 
inerrancy of Scripture	聖經之無誤性。詳見 inerrancy of the Scripture 。 
Amen In the Name of the Father and of the Son and of the Holy Spirit	因父及子及聖神之名，阿們是教會經常使用、朗朗上口的經文之一。教會舉行每一件聖事、禮儀和祈禱的開始和結束，均呼求天主聖三的聖名。拉丁文稱作 In Nomine Patris et Filii et Spiritus Sancti, Amen 。 
last Judgement	最後審判。同 Judgement, general 。 
Sacred Congregation of Seminaries and Universities	教育（聖）部詳見 Congregation for Catholic Education. 
Good Shepherd	善牧指基督。 
the Almighty	全能者指全能、全知、無所不在的天主。 
principle of double effect	倫理雙果原則當某一行為有善、惡雙重結果時應守的原則；在某種條件之下始被允許，不可冒然行事。 
frequent Communion	勤領聖體教宗碧嶽十世以通諭鼓勵教友和兒童每日領聖體。 
devotion to the Sacred Heart of Jesus	耶穌聖心敬禮心為愛情之象徵，耶穌聖心像，心露於外，繞以茨冠，並有傷痕，上有火焰，表示耶穌對世人之大愛，藉以呼籲世人賠補己罪，並彼此相愛。方式包括歡度耶穌聖心節，每月首星期五參與彌撒、守聖時、念聖心禱文、念聖心入主家庭等等。 
Order of Preachers	道明會；多明我會 1215 年聖道明 Domingo de Guzman 創立於法國，以講道為宗旨。會名縮寫為 O.P. ，會士則稱 Dominican 道明會士。 
the Apostolic Chancery	教廷文書院始於四世紀，起草並處理教廷文書；如有關列品文件及劃分新教區文件等。 
papal brief	宗座簡函；宗座特許狀；教宗書簡教宗文告之一，由教廷特殊文書院簽署，並蓋教宗漁人指環印信者 Ring of the Fisherman ，又稱 breve ，詳見 bull, papal 。 
Sacrament of Marriage	婚姻聖事；婚配聖事婚姻契約是男女雙方藉以建立終身伴侶的結合，旨在夫妻的福祉，以及生育和教養子女；而兩位領洗者的婚姻被主基督提升到聖事的尊位（法典 1055)。又稱 Matrimony 。 
St. Thomas Aquinas	聖道茂．亞奎納舊名多瑪斯（湯姆斯、湯瑪斯），乃道明會士，著名神、哲學家，著作等身，以神學集成為代表作，被封為教會聖師。 
Easter Triduum	逾越節三日慶典；復活節三日慶典從聖週四開始的三日慶典，包括主的晚餐彌撒、主受難日（紀念救主受難儀式）、復活前夕守夜禮。 
last blessing	 (1) 臨終祝福對臨終者的祝福，包括頒賜全大赦在內。 (2) 最後祝福彌撒結束時的祝福。 
last sacraments	臨終聖事包括告解、病人傅油、臨終聖體等對彌留病人施行的三件聖事。 
parish credit union	堂區儲蓄互助社為小型合作社，教宗若望廿三世曾于《慈母與導師》通諭中大加讚揚；現臺灣堂區亦有成立者。 
veiling of images	蒙蓋聖像；掩像梵二以前，自四旬期第五主日開始，將教堂中（除十四處苦路圖像外）的一切聖像（相），盡以紫布掩蓋，以紀念耶穌苦難。苦像之紫布於聖週五禮儀中取下，其他聖像（相）之紫布則於復活節前夕取下。 
revealed theology	啟示神學從天主啟示而得來的有關天主的知識；與自然神學 theology, natural 相對照。 
spiritual profit	神益。 
application of Mass	奉獻彌撒；申請彌撒請司祭在某一彌撒中特別為某人、某事祈禱，稱為奉獻彌撒，通常也捐薄酬，聊表謝意，此酬金稱為彌撒獻儀 stipend ，又稱分配彌撒果實。 
blessing of the cornerstone	奠基禮。 
temporary vows	暫願；小願；有期誓願指有期限、過渡性的聖願，如一年、三年等。 
general chapter	全體大會指修會全體代表大會。 
the Templars	聖殿騎（武）士團由九位法國騎士在 1118 甏戳 ? 諞啡隼洌ㄋ廾攀?罡澆 ? 拇笙茫謀；?釗撕徒袒帷Ｓ殖 ? the Knight of the Templars (Temple)。 
St. Dominic	聖道明西班牙神父，道明會創始人。見 Dominicans 。 
Litany for the dying	臨終禱文專為彌留病人所誦念的經文。 
Christian edification	 (1) 基督奧體；教會之建立（弗四 12)。 (2) 教化；啟迪；立好榜樣。 
Jubilee indulgence	聖年大赦；猶比來翁大赦。詳見 Jubilee Year 。 
vacant see	出缺；主教牧座出缺指主教因死亡、調任、辭職、免職時，主教席位即告出缺（法典 416)。 Sede 原意指座位，引伸為（教區）職權。拉丁文稱作 sede vacante 。教宗也能因死亡或辭職而出缺。 
holy fire	聖火指復活節前夕所祝聖之火，象徵從死者中復活的基督，光照普世，以祂的真光驅散世人心靈的黑暗。 
solemn vows	顯願；盛式誓願泛指一般古老的修會所矢發的願，實質上與新興修會所矢發的簡願相同。 
provincial council	教省會議；全省主教會議。 
biblical concordance	聖經索引；聖經要語索引；聖經用語彙編以聖經主要字句編排的索引，最著名者為 1736 年由克魯丹(Alexander Cruden)所編著，沿用至今。 
Your Holiness	陛下；宗座與教宗講話時的尊稱。 
natural theology	自然神學；原神學講授基於理性的宗教及倫理知識，亦即從人的理性，探討天主及超自然的學問；與啟示神學 theology, revealed 相對照。 
Christian name	聖名；洗名一般都取自聖人的名字，包括 (1) 領洗時所取之名，又稱洗名，參閱 baptismal name 。 (2) 領堅振聖事者、或修會會士發願者所起之名，又稱會名。 
Epistle to Timothy	弟茂德書；提摩太書（基）聖保祿宗徒寫給弟茂德的書信，勸勉愛徒弟茂德，應如何管理教會及照顧人靈。共分前、後書。 
apostolic nuncio	教廷大使駐在大部為天主教徒國家的教廷大使，為使節團之團長。詳見 papal legate 。 
apostolic protonotary	 (1) 教廷高級書記；宗座總書記官簡稱 P.A. 。 (2) 教會榮銜。 
the Immaculate Conception	聖母無玷始胎；聖母無染原罪；聖母無原罪；聖母始胎無染原罪 1854 年教宗碧嶽九世宣佈「瑪利亞在其母胎成孕之初，即因天主特恩未染原罪」為信條。其節日在十 二月八日 。拉丁文稱作 Immaculata Conceptio 。 
presbyterial council	司鐸諮議會每一教區應成立司鐸諮議會，代表司祭團協助主教治理教區（法典 495)。 
pontifical decoration	 (1) 主教飾物如胸前十字、權戒、權杖、高帽等。 ? 宗座榮銜；宗座勳章由教宗賜給教友的榮銜，如爵士、獎牌、十字架等。 
juridical person	法人 (1) 天主教會及宗座均有法人資格，乃天主所制定。 (2) 教會的法人指依教會法符合其性質作義務及權利的主體。此法人或為社團，或為財團（參閱法典 113-123)。 
Gospel of St. John	若望福音；約翰福音（基）新約第四部福音書；為使徒聖若望于第一世紀末葉所寫，較其他三部約晚三十餘年。寫此福音時，否認耶穌是天主子的邪說橫行，為了堅固信友的信德，若望強調耶穌是默西亞、天主子，而使相信的人靠祂的名獲得生命。 
apostolic commissary	教宗特使；教宗特派員。 
perfect contrition	上等痛悔由愛慕天主而生的悔罪行為。告解前罪過已蒙赦免，但重罪仍有辦告解的義務。 
Constitution on the Sacred Liturgy	《禮儀憲章》第二屆梵蒂岡大公會議所公佈的憲章(4.12.1963)，是教會近代禮儀革新的藍圖。拉丁文稱作 Constitutio de Sacra Liturgia 。 
St. Nicholas of Myra	聖尼閣；聖尼各老（第四世紀）小亞細亞之米拉城主教，經常扶弱濟貧，是一位極受人歡迎的聖人，在每年十 二月六日 慶祝，為傳說中的聖誕老人。 
profession cross	聖願十字發願會士所佩帶的十字苦像。 
National Legion of Decency	良風團為促進電影內容信守善良風俗的團體。成立於 1934 年，不僅消極抵制不良電影，也主動表揚良好影片。 
the Deluge	洪水舊約記載，天主曾以洪水處罰人類的罪行（創六 9 ；八 14 ；伯前三 20)。又可稱 Flood 。 
papal rescript	教宗覆文；聖座答書乃教宗或有關主管以書面發佈之行政措施，賜予申請者特恩、豁免、釋疑或其他恩惠（法典 59)。通常只對詢問或請求人有效。答書言簡意賅，譬如諾 affirmative ，否 negative ，不宜 non expedit ，特許 pro gratia ，欣然准予所請 gaudeat impetrates 等。 
Our Lady of Ransom	聖母贖虜瞻禮於十三世紀因聖母顯現而組成之特別為被俘者贖身的修會。 
spiritual relationship	神親如洗禮聖事中，受洗者與其代父母結為神親。 
the Holy Rule of St. Benedict	聖本篤會規為西方隱修之父，聖本篤所擬定之規則，注重自給自足，共度團體獻身生活，會規要求嚴格、培養團隊精神、強調中庸之道。其他修會多參考採用。西元 529 年發源於義大利喀西諾山 Monte Cassino ，很快就發展開來，對歐洲的開發貢獻良多。 
local church	地方（區）教會；個別教會指普世教會在某地區的可見部分。泛指一個地區、國家、教省、教區、堂區等等。又稱 particular church 。 
actual grace	寵佑；助力聖寵；現時恩寵；助人為善的聖寵指人在皈依的開始，或在聖化的過程中，來自天主的助佑，是天主所賜的超性神恩，開導人的理智好能分辨是非、善惡，感動人的意志以便行善避惡。 
Devil's Advocate	魔鬼的辯護者；列品調查員基於調查萬分仔細，毫不含糊，故名。詳見 Advocatus Dei 。 
examination of conscience	省察；反省；良心檢討反省自己之言行是否符合天主聖意。 
Book of Leviticus	肋未紀；利未記（基）梅瑟五書之第三部；作者不詳。為希伯來人的禮規手冊。 
St. Peter's Chair	聖伯鐸寶座；建立聖伯鐸宗座 (1) 相傳聖伯鐸曾坐過的銅椅，現存于羅馬聖伯鐸大殿。 (2) 紀念建立聖伯鐸宗座之慶日在二月廿二日。 
day of retribution	最後審判日指世界末日時，天主對人類善行及罪過賞罰的終結之審判，亦即所謂最後的因果報應。基督宗教相信世界末日的最後審判。 
devotion to the Sacred Heart of Mary	聖母聖心敬禮聖母瑪利亞聖心像，心露於外，繞以玫瑰，被利刃穿透，上有火焰，象徵聖母與耶穌一同受苦受難，旨在提醒世人，賠補己罪，並彼此相愛。方式包括歡度聖母無玷聖心節、每月首星期六參與彌撒、念聖母禱文、玫瑰經等等。 
the Feast of Orthodoxy	保持正統信仰慶節指東方拜占庭禮天主教，於四旬期第一主日所舉行之慶節，是日紀念終結（瓦解）聖像破壞運動(iconoclastic movement)，而聖像（相） icon 終於在 842 年得再懸掛於教堂中。 
celestial hierarchy	天使階級。詳見 choirs of angels 。 
Anglican Church	安立甘教會；英國國教又稱 Anglicanism ，是英王亨利八世脫離天主教時，於 1534 年所創始的獨立教會。是一個在英國紮根、茁壯、成長，而逐漸遍佈全世界的教會支派，稱之為聖公宗 Anglican Communion 。該會傳至英國國外後改稱聖公會 Episcopal Church 或 Episcopalianism 。 
major prophets	大先知指舊約中的依撒意亞 Isaiah 、耶肋米亞 Jeremiah 、厄則克耳 Ezechiel 和達尼爾 Daniel 等四人。 
Book of Malachia	瑪拉基亞書；瑪拉基書（基）舊約先知書最後一部，成於西元前五世紀，指出上主對以色列人之仁愛及對曠職司祭之譴責。又稱 Ｍ alachi 。 
main altar	正祭台；大祭台昔日教堂中央的主要祭台，四周設有若干次要祭台 side altar 。照教會新規定，教堂中只許有一個（正）祭台。 
sacramental grace	聖事聖寵領受聖事時，聖事本身所賜予之恩（聖）寵。 
Sacrament of the Eucharist	聖體聖事；感恩祭（宴）；感恩聖事（禮）；彌撒包括聖事和聖體，是耶穌親定的至尊聖事，將餅酒變為自己的血肉，祭獻天主，養活人靈。聖體聖事一方面紀念主的死亡及復活，使十字架的祭獻功效永世長存，另一方面，聖體又是飲食，讓人的超性生命得到滋養、聖化、成長（法典 897)。原文來自希臘文 Eucharistia ，意指感恩，通常稱作 Most Holy Eucharist ，或 the celebration of the Eucharist 。 
Christian art	基督宗教藝術；宗教藝術；教會藝術指增進基督信仰、恩寵、熱心、敬禮、聖潔的教會藝術。自地下墓穴的象徵藝術開始，教會在每一世紀均有表達美術、裝飾、訓誨的藝術傑作，包括聖殿建築、鑲嵌細工、繪畫、雕塑、木刻、金銀作品 … 。許多美麗、高貴、而有價值的藝術品，能使人心神嚮往天主，經常用在教會正式敬禮上的稱為禮儀藝術 liturgical art ，或聖藝 sacred art 。 
Gregorian calendar	國瑞曆書；額我略曆書；格利高曆書原羅馬凱撒於西元前 46 年所頒之 Julian 曆，較陽曆每年長 11 分 14 秒。屆西元 1580 年已累積至 10 日。教宗國瑞（額我略；格利高）十三世，於西元 1582 年，自 10 月減除 10 日（將 1582 年 10 月 5 日 改為 1582 年 10 月 15 日)，並下令規定每四年的二月增加一日，是為閏年，表示「世紀」之年。因此國瑞曆每年較實際多 26.3 秒，屆西元 4316 年將多出一日。目前世界通用者即此國瑞曆。 
spiritual relish	神味神修方面之樂趣，亦即天人合一之樂趣。 
Eucharistic Congress	聖體大會。詳見 Eucharistic Congress 。 
St. Francis of Assisi	聖方濟．亞西西舊譯名方濟各(1181-1226)， 1224 年自己的身體印了五傷，親身體驗到耶穌所受的十字架痛苦， 1228 年列入聖品，又稱五傷聖方濟，為一平民化的義大利聖人。創立了方濟會；該會先後分出三支方濟小兄弟會 Order of Friars Minor (1209 年），方濟住院會 Conventuals (1415 年），嘉布遣會 Capuchins (1525 年）。 
Christian vocation	聖召；神召；神命；使命基督召喚人時，要人聽從祂、跟隨祂、師法祂，進而變成祂的肖像，並宣揚救恩的喜訊就廣義而言，指每位教友（生活中）個別的機遇和工作，都可說是天主的召喚和考驗，亦即每件事－除了罪過以外，都可與天主聖意相調和。就狹義而言，指蒙天主召選願意獻身於教會者，如作神父、修女等。 
St. Paul	聖保祿；聖保羅（基）又名掃祿，於西元二或三年生於小亞細亞之塔爾索，父母為猶太人，曾在耶路撒冷深造，由於對猶太教和祖傳法律的熱誠維護，因而竭力迫害新興的基督教會，就在他前往大馬士革途中，蒙耶穌顯現，特選為自己的宗徒；自此改弦易轍，為福傳事業到處奔波，足跡從以色列、賽普勒斯、敘利亞、馬其頓、雅典、厄弗所、格林多 … 遠至義大利、西班牙。最後在羅馬為主殉道，所遺留下的十四封寶貴書信，留傳千古。 
Suffering Church	受苦的教會教會不斷地接受痛苦的考驗，尤指煉獄靈魂。詳見 Mystical Body (of Christ)。 
college of consultor	參議會教區主教可從司鐸諮議會中任命若干司鐸組成參議會，享有法律所規定的職務（法典 502)。修會亦有類似組織（法典 627)。 
immortality of the soul	靈魂不滅指人死後，其自我意識的靈魂繼續存在於不滅的狀況。 
Divine Perfections	天主的美善天主的全美、全善。 
Secretariat (e) of Latin Letters	普通文書院教廷中樞機構之一。 
Holy Week	 聖周；聖主日；大主日復活前的一個星期，從週一到復活主日，紀念耶穌在世最後一周的事蹟，主要包括主建立聖體、主受難、耶穌復活等。 
Rule of St. Basil	聖西略會規為希臘四大聖師之一，聖（巴）西略(330-379)所留下的隱修規程；注重服從、清貧與棄舍世物，經常守齋、默想、讀書、工作、團體祈禱。許多修會的會規均以此規程為藍本。 
capital sins	七罪宗；罪源各種罪惡的源頭，可歸納為七項，即驕傲 pride 、慳吝 covetousness/avarice 、迷色 lust 、貪饕 gluttony 、嫉妒 envy 、忿怒 anger 、懶惰 sloth 。又稱七死罪 deadly sins, seven 。 
Book of Job	約伯傳；約伯記（基）舊約經書之一；富戲劇性，內容為上主對人之考驗以及人之反應。 
bishop's train	主教長（尾）禮服往昔主教大禮服的長尾巴－拖曳至地的長袍。現已廢除。 
minor prophets	小先知指舊約中的歐瑟亞 Osee 、嶽厄爾 Joel 、亞毛斯 Amos 、亞北底亞 Abdias 、約納 Jonas 、米該亞 Micheas 、納鴻 Nahum 、哈巴谷 Habacuc 、索福尼亞 Sophonias 、哈蓋 Aggeus 、匝加利亞 Zacharias 和瑪拉基亞 Malachias 等十二人。 
Confraternity of the Holy Rosary	玫瑰會為教友善會，參加者每週應誦念三串（份）玫瑰經，以表孝愛聖母之熱忱。 
quality of life	生活品質泛指幸福美滿、安和樂利、心滿意足等生活。有好壞、高低之別。包括多層次的生活人類環境、物質、社會、政治、思想、藝術、心理、倫理、宗教生活等等。基督徒的生活品質強調宗教經驗、人的整體觀、愛的付出、追求靈性和永恆的生命等等。 
oath (vow) of stability	心願；固定願會士在修會中所矢發的終身不渝之誓願。 
Apostolic Constitution	宗座憲令。 
final Judgement	最後審判；公審判。詳見 Judgement, general 。 
Master of Ceremonies	司儀教會禮儀中指揮禮節、依禮規進行的人。 
provincial commissary	准省會長某些修會工作地區，因條件不足，不能成立會省，但因實際需要而仍劃為會省（規模）的上司，稱之為准省會長。 
Council of Jerusalem	耶路撒冷會議眾使徒于西元 49 年，聚集耶路撒冷討論非猶太人進教問題之會議，有伯鐸、保祿、雅格等多人參加（宗十五 4-29)。可算是（非制式的）大公會議。 
St. Ignatius of Loyola	聖（依）納爵．羅耀拉(1491-1556)原為西班牙軍人，蒙主召選晉鐸後，于 1534 年創立了耶穌會； 1622 年列入聖品；紀念日在七月卅一日。 
corporal works of mercy	 有形哀矜（施捨）；物質援助（佈施）；慈善工作按昔日要理問答記載共七項食饑者、飲渴者、衣裸者、探病者、舍旅者、贖擄者、葬死者（參閱瑪廿五 31-46)。 
apostolic delegate	宗座代表；教宗代表不具外交身分的教宗代表。如教廷駐華代表剛毅總主教、蔡甯總主教等。詳見 papal legate 。 
divine providence	天主照顧；天主上智的安排；天佑指慈愛與全知的天主對受造物的照顧和引導。拉丁文為 providentia divina 。 
religious congregations	修會指男女教友獻身教會，誓發神貧、貞潔、服從三願，共度獻身生活的團體。各修會雖在生活方式或服務專案上有所不同，但都是隸屬於天主教體制內的團體，亦即均與教宗共融，並非教派。 
argumentum (L.) ad hominem	人身攻擊的論證對人之弱點所作主觀的（偏差）論證。 
Your Grace	閣下英國基督徒對總主教的尊稱；第二人稱。美國用 Your Excellency 。 
His Grace	閣下英國基督徒對總主教的尊稱；第三人稱。美國用 His Excellency 。 
the act of hope	 (1) 發望德；望德行為。 (2) 望德頌。 
major superior	高級上司（長上）職掌修會會省以上會務者。 
the Swiss Guards	教廷侍衛（衛兵）；瑞士衛隊主要任務是護衛教宗安全；梵蒂岡的警衛皆為（講德語的）瑞士籍衛兵負責。由教宗猶利 Julius 二世於 1510 年組成。必要時羅馬員警也會從旁協助。 
grave sin	大罪；重罪；死罪在嚴重事項上明知故犯天主的誡命，因犯罪者自絕於天主之寵愛，與天主為敵，形同自殺，故又稱作死罪。 
Mass stipend	彌撒獻儀請司祭（神父、主教）為某特別意向奉獻彌撒時，所致送的獻儀，通常是現金。是教友支持教會的表示，聖保祿曾提出牧羊人有權吃羊奶的理論根據（格前九 7)。 
His Holiness	陛下；宗座對教宗的尊稱（第三人稱）。 
the Sapiential Books	智慧書舊約歌頌天主及人類智慧的叢書，包括聖詠、箴言、訓道篇、雅歌、智慧篇。 
Presbyterian Church	長老教會。詳見 Church, Reformed 。 
Apostolic Church	從宗徒傳下來的教會即天主教會。詳見 marks of the Church 。 
the Good Thief	右盜在耶穌右側同時被釘十字架而回頭改過的強盜；相傳名叫狄司馬 Dismas （參閱路廿三 39-43)。 
parochial Mass	堂區彌撒堂區中在固定時間供大眾參與的彌撒。 
